Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Fashion Incubator San Francisco (FiSF),"The mission of Fashion Incubator San Francisco, a non-profit, 501c3 corporation, is to accelerate emerging apparel and accessories design businesses while supporting fashion industry economic growth and job creation in the San Francisco Bay Area.
 Participants in FiSF's business accelerator program receive individualized mentoring from fashion industry experts and business development professionals to explore and create innovative, fashion-focused business models.
 We help members take advantage of ever-evolving industry trends and influences through educational courses and free access to our public programs that bring together the regional design community.
 We offer low-cost design studio space, a salesroom and high-profile opportunities to showcase new lines. Fashion Incubator San Francisco is for entrepreneurs who are serious about scaling their existing businesses.",882,118,16,0,101,34,7.47457627118644,124,91.63,91.47,8.87,91.39,24.80,46.77,70.16,28.23,4.84,3.23,0.00,2.42,0.00,0.00,0.81,1.61,4.03,9.68,2.42,1.61,6.45,0.00,4.84,4.03,0.00,0.81,0.81,0.00,7.26,5.65,1.61,0.00,0.00,0.81,11.29,0.00,0.00,0.00,0.00,4.03,0.81,2.42,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.13,5.65,3.23,4.84,4.84,0.00,0.00,4.03,0.00,12.10,3.23,6.45,3.23,16.94,0.00,0.81,7.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.90,4.03,4.03,0.00,0.00,0.00,0.00,4.03,0.00,0.81,0.00,0.00
Fast Forward,"Fast Forward's mission is to accelerate good. We believe the world's toughest problems deserve the best tech solutions. We unlock the power of the tech community to tackle social issues. From poverty, to education access, to improving health, to environmental degradation‚Äîtechnology can impact lives at scale unmatched in human history.",338,50,9,0,44,17,6.76,51,99.00,91.49,6.20,62.94,12.75,33.33,72.55,33.33,3.92,3.92,0.00,3.92,0.00,0.00,0.00,0.00,7.84,17.65,3.92,0.00,0.00,0.00,5.88,3.92,3.92,0.00,0.00,0.00,9.80,5.88,3.92,0.00,0.00,0.00,9.80,0.00,0.00,0.00,0.00,5.88,3.92,1.96,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92,0.00,3.92,0.00,0.00,27.45,7.84,5.88,9.80,5.88,1.96,0.00,7.84,0.00,9.80,1.96,5.88,3.92,1.96,0.00,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,7.84,5.88,0.00,0.00,0.00,0.00,0.00,0.00,3.92,0.00,0.00
FedEx,"FedEx Corporation will produce superior financial returns for its shareowners by providing high-value-added logistics, transportation, and related business services through focused operating companies. Customer requirements will be met in the highest quality manner appropriate to each market segment served. FedEx will strive to develop mutually rewarding relationships with its team members, partners, and suppliers. Safety will be the first consideration in all operations. Corporate activities will be conducted to the highest ethical and professional standards.",566,75,11,0,69,27,7.546666666666667,77,91.98,81.84,18.34,97.38,15.40,49.35,81.82,32.47,2.60,0.00,0.00,0.00,0.00,0.00,0.00,2.60,3.90,11.69,10.39,0.00,3.90,0.00,11.69,5.19,2.60,0.00,1.30,5.19,5.19,5.19,0.00,0.00,0.00,0.00,9.09,0.00,1.30,0.00,0.00,5.19,2.60,1.30,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,0.00,18.18,6.49,5.19,5.19,2.60,1.30,2.60,3.90,6.49,12.99,1.30,9.09,2.60,19.48,1.30,0.00,5.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,6.49,5.19,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00
Feeding America,To feed America's hungry through a nationwide network of member food banks and engage our country in the fight to end hunger,124,22,1,0,20,9,5.636363636363637,22,99.00,98.80,11.00,25.77,22.00,22.73,86.36,40.91,4.55,4.55,0.00,4.55,0.00,0.00,0.00,0.00,9.09,22.73,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,4.55,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,9.09,4.55,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00
Ferrari,"To make unique sports cars that represent the finest in Italian design and craftsmanship, both on the track and on the road.",124,22,2,0,20,11,5.636363636363637,22,99.00,50.00,61.34,94.75,22.00,13.64,72.73,45.45,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,13.64,18.18,0.00,0.00,9.09,0.00,4.55,9.09,9.09,0.00,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,22.73,0.00,22.73,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ford,"We are once again working to revolutionize mobility, fueled by new challenges and creating solutions to build a better world for everyone.  Our mission is to drive human progress through the freedom of movement.",211,34,3,0,32,16,6.205882352941177,34,97.21,96.11,66.34,99.00,17.00,35.29,91.18,47.06,8.82,5.88,0.00,5.88,0.00,0.00,0.00,2.94,5.88,20.59,5.88,2.94,2.94,0.00,11.76,5.88,2.94,0.00,2.94,0.00,11.76,11.76,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,8.82,2.94,5.88,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.47,5.88,17.65,2.94,2.94,0.00,0.00,5.88,0.00,20.59,8.82,2.94,8.82,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.82,5.88,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ford Motor,"People working together as a lean, global enterprise to make people‚Äôs lives better through automotive and mobility leadership.",128,18,2,0,16,5,7.111111111111111,19,98.71,98.19,19.27,97.58,19.00,36.84,78.95,26.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,15.79,0.00,0.00,10.53,0.00,15.79,10.53,10.53,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,21.05,5.26,15.79,5.26,5.26,0.00,0.00,10.53,0.00,15.79,5.26,10.53,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Foundation Capital,Foundation Capital is made up of former entrepreneurs on a mission to create the firm they wanted as founders.,110,19,1,0,17,9,5.7894736842105265,19,99.00,70.08,19.27,97.58,19.00,26.32,84.21,47.37,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,10.53,26.32,5.26,0.00,5.26,0.00,21.05,10.53,10.53,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,15.79,0.00,10.53,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,10.53,5.26,0.00,0.00,15.79,5.26,0.00,21.05,0.00,15.79,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Freddie Mac,To stabilize the nation's residential mortgage markets and expand opportunities for homeownership and affordable rental housing.,128,16,2,0,15,5,8.0,16,97.36,50.00,1.00,99.00,16.00,56.25,81.25,31.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,12.50,0.00,0.00,12.50,0.00,0.00,6.25,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,6.25,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,6.25,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00
Galvanize,"We believe in making education and growth accessible to anyone ‚Äì especially underrepresented groups in the tech industry. Whether you‚Äôre a founder, student, or just someone who wants to level up their career, we want Galvanize to be a welcoming, inclusive place where you can take the next step in your journey.",315,52,6,0,47,23,6.0576923076923075,53,75.43,99.00,60.79,61.55,26.50,26.42,88.68,52.83,16.98,11.32,0.00,3.77,5.66,0.00,1.89,5.66,7.55,13.21,3.77,5.66,5.66,0.00,11.32,1.89,0.00,5.66,0.00,1.89,1.89,1.89,0.00,0.00,0.00,0.00,20.75,0.00,0.00,0.00,0.00,16.98,1.89,1.89,3.77,5.66,1.89,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.87,7.55,1.89,5.66,3.77,0.00,0.00,11.32,1.89,20.75,5.66,13.21,1.89,7.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.32,3.77,7.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GE,We rise to the challenge of building a world that works.,56,11,1,0,10,6,5.090909090909091,11,99.00,96.52,31.94,99.00,11.00,18.18,90.91,54.55,18.18,9.09,0.00,9.09,0.00,0.00,0.00,9.09,18.18,18.18,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,9.09,18.18,0.00,0.00,0.00,0.00,9.09,0.00,18.18,9.09,18.18,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gehl,"Gehl is an urban design and research consultancy dedicated to Making Cities for People. The study of people‚Äôs well-being lays the foundation for our strategic planning and design services. Our approach is iterative and holistic, but begins with studying public life: the activities, user groups, and behavior patterns ‚Äì and public space, with the goal of inviting public life to flourish.",392,61,9,0,53,23,6.426229508196721,63,94.61,94.36,2.82,55.71,21.00,25.40,79.37,39.68,3.17,3.17,0.00,3.17,0.00,0.00,0.00,0.00,7.94,12.70,4.76,1.59,9.52,0.00,9.52,3.17,0.00,0.00,0.00,1.59,1.59,1.59,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,3.17,0.00,1.59,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,3.17,0.00,3.17,0.00,0.00,11.11,4.76,4.76,0.00,3.17,0.00,0.00,6.35,1.59,7.94,3.17,3.17,1.59,11.11,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,1.59,0.00,14.29,4.76,6.35,1.59,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00
General Dynamics,"At General Dynamics IT, our dedication to helping customers achieve mission success is matched only by our commitment to take the path of highest ethical behavior, integrity, trust, respect and teamwork to get there. No shortcuts. Our belief in continuous improvement ensures our customers receive customized solutions to meet current and future needs.",352,53,7,1,47,18,6.6415094339622645,53,89.00,98.77,16.24,99.00,17.67,47.17,79.25,37.74,9.43,7.55,0.00,7.55,0.00,0.00,0.00,1.89,1.89,15.09,1.89,3.77,3.77,1.89,9.43,3.77,1.89,0.00,0.00,0.00,9.43,9.43,0.00,0.00,0.00,0.00,16.98,0.00,0.00,0.00,0.00,7.55,3.77,1.89,1.89,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.30,11.32,9.43,3.77,7.55,1.89,0.00,13.21,1.89,13.21,3.77,5.66,5.66,9.43,1.89,0.00,3.77,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.21,5.66,7.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Electric,"TO INVENT THE NEXT INDUSTRIAL ERA, TO BUILD, MOVE, POWER AND CURE THE WORLD.",76,14,4,14,0,5,5.428571428571429,14,99.00,50.00,89.63,25.77,14.00,7.14,78.57,35.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,7.14,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,7.14,0.00,28.57,7.14,7.14,14.29,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,7.14,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Mills,We serve the world by making food people love.,46,9,1,0,8,3,5.111111111111111,9,98.87,99.00,4.97,99.00,9.00,0.00,88.89,33.33,11.11,11.11,0.00,11.11,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,11.11,22.22,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Motors,To earn customers for life,26,5,0,0,4,2,5.2,5,99.00,50.00,1.00,25.77,5.00,20.00,100.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,"Georg-August-Universität Göttingen recognises its position within the scientific community where it stands together with the research universities of international significance. Within the areas of research and teaching, study and further education, the University's aims are
to preserve traditional perceptions discerningly, to render them usable and, by way of excellent teaching, to hand them on to future generations;
to gain new knowledge in all disciplines, also across and beyond conventional boundaries;
to enable all those studying at the University to act with responsibility in their scientific activities, as well as in all fields of cultural, political and economic life.

In its tradition as a leading University of the Enlightenment, Georg-August-Universität Göttingen is committed in its duty
to maintain the close alliance of research and teaching for their mutual stimulation;
to consider in critical reflection the political, social and commercial interests of the day;
in so doing, to preserve and defend the University's freedom in research and its independence in scientific teaching.

Georg-August-Universität Göttingen perceives itself as a font of innovation to enrich all spheres of life, regarding it as its task
to collaborate with other scientific institutions in research and teaching,
to publicise its research findings and promote their utilisation and
to contribute to the responsible development of its regional environment.

Georg-August-Universität Göttingen
seeks to contribute to the realisation of equal opportunities and the overcoming of all gender-related, ethnic, cultural, social and religious disadvantages that oppose this;
is committed to ensuring strict observance of the ethical principles of good scientific practice;
informs the general public about the administering of its tasks and strives for open debate on the outcomes of its endeavours.



Aims and Means
On the basis of its achievements in research and teaching, Georg-August-Universität Göttingen seeks to heighten its international reputation by concentrating on its special strengths:
Internationality - enhancing its ability to attract scientists, scholars and students from abroad; expansion of international networks and partnerships for fostering research and young scientists
Research-based teaching and learning - development of research-related study programmes and occupationally-orientated training and further education courses, graduate schools, and junior research groups in which young scholars and scientists conduct independent research
Interdisciplinarity and diversity - intensifying the collaboration between the humanities and the social, natural and life sciences, and preservation of subject diversity in the interests of problem-solving to shape the future
Autonomy - strengthening the self-responsibility of the University as a Public Law Foundation, including also that of its boards, faculties and institutions
Cooperation with non-university institutions - extending and institutionalising the collaboration with appropriate research establishments in science, commerce and the community


Civil Clause

The University pledges its commitment to peace and justice in the world. The University and the academics working therein strive to serve peace in the world through research and teaching. In responsibility for society, they undertake to uphold in their actions the intrinsic ethical principles of science and scholarship.",3463,479,66,0,438,205,7.22964509394572,491,98.46,69.47,18.78,60.52,61.38,41.55,84.73,42.77,6.31,1.43,0.00,0.00,0.00,0.00,1.43,4.89,7.33,19.96,0.81,1.43,9.16,0.00,3.05,3.87,1.83,0.41,0.00,1.43,3.46,2.65,0.81,0.00,0.20,0.00,5.30,0.00,0.20,0.00,0.00,6.92,3.26,1.83,0.20,0.00,1.63,0.20,0.81,0.00,0.00,0.20,0.81,0.20,0.61,0.00,0.00,10.79,3.05,3.05,4.28,1.02,0.61,0.00,1.83,0.41,12.42,0.41,9.57,2.44,18.94,0.00,0.00,0.41,0.20,0.00,0.20,0.00,0.00,0.00,0.20,0.00,13.44,1.63,5.30,0.20,1.43,0.00,0.00,4.48,0.00,0.41,0.00,0.00
GEORGE WASHINGTON UNIVERSITY,"The George Washington University, an independent academic institution chartered by the Congress of the United States in 1821, dedicates itself to furthering human well-being. The University values a dynamic, student-focused community stimulated by cultural and intellectual diversity and built upon a foundation of integrity, creativity, and openness to the exploration of new ideas.

The George Washington University, centered in the national and international crossroads of Washington, DC, commits itself to excellence in the creation, dissemination, and application of knowledge.

To promote the process of lifelong learning from both global and integrative perspectives, the University provides a stimulating intellectual environment for its diverse students and faculty. By fostering excellence in teaching, the University offers outstanding learning experiences for full-time and part-time students in undergraduate, graduate, and professional programs in Washington, DC, the nation, and abroad. As a center for intellectual inquiry and research, the University emphasizes the linkage between basic and applied scholarship, insisting that the practical be grounded in knowledge and theory. The University acts as a catalyst for creativity in the arts, the sciences, and the professions by encouraging interaction among its students, faculty, staff, alumni, and the communities it serves.

The George Washington University draws upon the rich array of resources from the National Capital Area to enhance its educational endeavors. In return, the University, through its students, faculty, staff, and alumni, contributes talent and knowledge to improve the quality of life in metropolitan Washington, DC.",1708,238,45,3,201,96,7.176470588235294,242,99.00,64.51,24.93,99.00,26.89,42.98,80.99,41.32,3.31,0.00,0.00,0.00,0.00,0.00,0.00,3.31,12.81,16.94,0.83,0.41,7.85,0.00,2.07,4.96,0.83,0.00,0.41,0.83,6.20,6.20,0.00,0.00,0.00,0.00,3.72,0.00,0.00,0.00,0.00,7.44,3.72,2.48,0.41,0.41,0.41,0.00,1.24,0.00,0.00,0.00,0.41,0.00,0.41,0.00,0.00,8.26,1.65,2.48,4.13,0.41,0.00,0.00,1.24,0.00,13.64,0.41,11.57,1.65,16.53,0.41,0.00,0.83,0.00,0.00,0.41,0.00,0.00,0.00,0.41,0.00,18.60,3.72,13.22,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00
GEORGETOWN UNIVERSITY,"Established in 1789 in the spirit of the new republic, the university was founded on the principle that serious and sustained discourse among people of different faiths, cultures, and beliefs promotes intellectual, ethical and spiritual understanding. We embody this principle in the diversity of our students, faculty and staff, our commitment to justice and the common good, our intellectual openness and our international character.

An academic community dedicated to creating and communicating knowledge, Georgetown provides excellent undergraduate, graduate and professional education in the Jesuit tradition for the glory of God and the well-being of humankind.

Georgetown educates women and men to be reflective lifelong learners, to be responsible and active participants in civic life and to live generously in service to others.",840,122,15,0,114,51,6.885245901639344,123,96.28,92.82,14.43,99.00,30.75,40.65,86.99,44.72,6.50,4.07,0.00,4.07,0.00,0.00,0.00,2.44,8.13,16.26,3.25,0.81,9.76,0.00,4.88,5.69,0.81,0.00,0.81,0.00,9.76,8.94,0.81,0.00,0.00,0.00,12.20,0.00,0.00,0.81,0.81,8.13,4.07,1.63,0.00,0.00,0.81,1.63,0.00,0.00,0.00,0.00,1.63,0.00,1.63,0.00,0.00,15.45,6.50,4.07,4.88,1.63,0.00,1.63,3.25,0.00,8.94,0.00,7.32,0.81,11.38,0.00,0.00,0.00,4.88,0.00,0.81,0.00,0.00,0.00,0.81,0.00,12.20,3.25,8.13,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00
GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),"Technological change is fundamental to the advancement of the human condition. The Georgia Tech community-students,staff, faculty, and alumni-will realize our motto of "" Progress and Service"" through efectiveness and innovation in teaching and learning, our research advances, and entrepreneurship in all sectors of society. We will be leaders in improving the human condition in Georgia, the United States, and around the globe.",429,62,14,0,51,28,6.919354838709677,64,95.70,95.70,26.25,55.21,21.33,39.06,79.69,45.31,4.69,4.69,0.00,4.69,0.00,0.00,0.00,0.00,9.38,15.62,6.25,1.56,9.38,0.00,9.38,1.56,0.00,0.00,0.00,1.56,1.56,1.56,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,7.81,3.12,1.56,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,6.25,7.81,6.25,3.12,0.00,0.00,4.69,3.12,14.06,4.69,9.38,0.00,15.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.88,4.69,10.94,0.00,0.00,0.00,0.00,3.12,3.12,0.00,0.00,0.00
Getaround,see last year's application,27,4,1,0,4,0,6.75,4,93.26,50.00,74.76,25.77,4.00,25.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00
Gilead Sciences,"To discover, develop and commercialize therapeutics that advance patient care, while challenging employees to make a difference and building a thriving worldwide enterprise.",173,23,3,0,22,8,7.521739130434782,23,93.26,33.19,27.39,99.00,23.00,56.52,78.26,34.78,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,8.70,8.70,0.00,0.00,13.04,0.00,8.70,4.35,4.35,0.00,0.00,0.00,8.70,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,4.35,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,13.04,0.00,8.70,4.35,4.35,0.00,0.00,8.70,0.00,8.70,4.35,0.00,4.35,17.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,4.35,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gillette,"We will provide branded Products and Services of superior quality and value that improve the lives of the world’s consumers, now and for generations to come.",157,26,2,0,23,13,6.038461538461538,26,88.90,87.57,17.46,99.00,26.00,34.62,88.46,50.00,7.69,3.85,0.00,3.85,0.00,0.00,0.00,3.85,7.69,15.38,3.85,3.85,11.54,0.00,11.54,0.00,0.00,0.00,0.00,0.00,11.54,11.54,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,11.54,3.85,3.85,3.85,0.00,0.00,0.00,15.38,3.85,15.38,3.85,3.85,7.69,11.54,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00
Ginger.io,To create a world where everyone can be their best self.,56,11,1,0,10,6,5.090909090909091,11,32.58,99.00,31.94,99.00,11.00,9.09,100.00,63.64,18.18,9.09,0.00,0.00,0.00,0.00,9.09,9.09,9.09,9.09,18.18,9.09,0.00,0.00,18.18,9.09,9.09,9.09,0.00,0.00,18.18,18.18,0.00,0.00,0.00,0.00,27.27,0.00,0.00,0.00,0.00,18.18,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,18.18,9.09,9.09,0.00,0.00,18.18,0.00,18.18,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Global Citizen Year,"Global Citizen Year envisions a world led by global citizens who are equipped to address today's greatest challenges and seize tomorrow's greatest opportunities. We are on a mission to make it normal for students from all backgrounds to choose a global bridge year after high school: an experience that builds self-awareness, global skills, and grit ‚Äì the foundations for success in college and beyond.",404,64,8,0,59,25,6.3125,65,98.37,82.21,86.77,99.00,32.50,27.69,87.69,38.46,6.15,1.54,0.00,1.54,0.00,0.00,0.00,4.62,7.69,16.92,3.08,1.54,4.62,0.00,4.62,7.69,4.62,1.54,0.00,1.54,7.69,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,3.08,3.08,0.00,0.00,1.54,0.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,1.54,6.15,6.15,4.62,0.00,1.54,6.15,1.54,24.62,1.54,15.38,7.69,10.77,0.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.31,3.08,3.08,1.54,0.00,0.00,0.00,1.54,0.00,3.08,0.00,0.00
